"12462 | "8
"1280670 | "8
"1193092 | "8
"35077 | "5
"1910823 | "6
"1218520 | "5
"13048 | "8
"1749690 | "8
"1565796 | "1
"1645448 | "2
"34705 | "8
"88887 | "8
"88880 | "8
"88883 | "1
"173134 | "8
"117761 | "2
"1572800 | "3
"1195739 | "2
"98627 | "8
"145734 | "8
"100219 | "4
"1602917 | "3
"1197597 | "7
"84055 | "8
"1942931 | "7
"92705 | "1
"180109 | "4
"114099 | "2
"118065 | "8
"5993 | "7
"112704 | "8
"1515018 | "4
"1190012 | "7
"115848 | "7
"96096 | "8
"96852 | "3
"117818 | "2
"1635539 | "1
"12079 | "6
"97398 | "8
"1272591 | "8
"1517112 | "3
"1272047 | "7
"1355278 | "5
"81153 | "4
"1633529 | "7
"1633528 | "7
"158323 | "2
"2173704 | "4
"85369 | "6
"1511046 | "4
"21814 | "8
"1533622 | "8
"1559119 | "8
"159336 | "8
"135182 | "8
"49054 | "8
"49056 | "8
"49050 | "8
"1617342 | "6
"2147885 | "1
"1726650 | "8
"1783410 | "6
"1591082 | "8
"1783417 | "8
"1783416 | "7
"120607 | "8
"1675952 | "6
"1675953 | "8
"94284 | "2
"116496 | "2
"1579320 | "8
"1680800 | "6
"121096 | "5
"85364 | "5
"106466 | "8
"135457 | "4
"105799 | "8
"94131 | "6
"1810375 | "8
"2211672 | "3
"1621414 | "7
"25196 | "7
"102512 | "8
"36750 | "8
"13309 | "8
"1943434 | "4
"125601 | "6
"1605633 | "8
"122050 | "6
"1761837 | "8
"1562208 | "8
"1859137 | "2
"124514 | "8
"153317 | "8
"1353840 | "8
"106685 | "8
"134586 | "8
"1609751 | "8
"134583 | "8
"87252 | "8
"1747992 | "3
"1299583 | "8
"2152538 | "1
"85101 | "8
"1637834 | "3
"1805490 | "8
"168029 | "8
"1615515 | "8
"44771 | "8
"1615513 | "6
"96621 | "5
"41057 | "8
"84508 | "4
"1801321 | "2
"156365 | "4
"99751 | "7
"1742928 | "8
"1713676 | "5
"99759 | "8
"134888 | "1
"1737589 | "7
"107483 | "5
"1725734 | "8
"1715862 | "8
"29706 | "7
"133588 | "8
"39611 | "8
"1809132 | "8
"1595761 | "6
"85272 | "8
"2034928 | "8
"34283 | "7
"1222522 | "8
"34288 | "8
"1740070 | "3
"156090 | "8
"1705701 | "8
"2114875 | "3
"171476 | "8
"31709 | "6
"1738849 | "8
"107155 | "8
"142712 | "8
"89909 | "8
"147548 | "5
"1233430 | "2
"37882 | "8
"1314261 | "7
"115554 | "8
"83354 | "8
"131631 | "8
"105885 | "8
"12895 | "8
"105889 | "5
"109686 | "8
"1564343 | "7
"40678 | "8
"2213145 | "1
"1736803 | "8
"1680248 | "8
"2212038 | "3
"108451 | "8
"1680244 | "8
"1269081 | "8
"1871648 | "6
"1683059 | "8
"47904 | "3
"23033 | "8
"182993 | "6
"1638729 | "8
"1762928 | "8
"158138 | "8
"1731460 | "2
"166123 | "8
"1727264 | "8
"1622510 | "8
"1723230 | "8
"1557213 | "7
"1644635 | "8
"100685 | "4
"1711843 | "8
"1533818 | "8
"97143 | "4
"1640741 | "8
"1628119 | "8
"103487 | "8
"167000 | "8
"2114723 | "4
"1707636 | "3
"1685833 | "8
"95876 | "3
"92394 | "6
"73014 | "3
"175947 | "8
"1723054 | "8
"1188052 | "8
"1228788 | "4
"1674405 | "8
"130585 | "5
"1526625 | "8
"1521906 | "8
"1560468 | "8
"4780 | "3
"93683 | "1
"2152883 | "8
"51303 | "8
"5829 | "4
"11262 | "8
"1528883 | "8
"1528882 | "8
"1528881 | "2
"1827953 | "8
"150325 | "8
"65024 | "8
"181466 | "8
"1190315 | "4
"60213 | "8
"73382 | "4
"1511030 | "8
"151816 | "8
"25340 | "7
"1568988 | "3
"110256 | "5
"181647 | "2
"140664 | "8
"1530433 | "7
"1707098 | "8
"53641 | "3
"1841182 | "8
"16069 | "7
"97812 | "8
"1255687 | "8
"1352949 | "1
"1556928 | "8
"61292 | "7
"17621 | "7
"1594590 | "8
"64511 | "8
"120223 | "5
"1732967 | "4
"86826 | "8
"1550988 | "8
"1524347 | "8
"1524342 | "8
"1524343 | "7
"1320740 | "8
"2178645 | "3
"1554290 | "8
"1811767 | "4
"1195506 | "8
"128208 | "4
"58634 | "3
"1853895 | "8
"91728 | "2
"39847 | "8
"70096 | "8
"93849 | "5
"1559025 | "8
"1639805 | "5
"16400 | "8
"121249 | "5
"1566192 | "8
"16408 | "8
"93846 | "6
"2209929 | "3
"2209927 | "3
"31621 | "8
"61929 | "8
"173930 | "8
"2209923 | "2
"2209921 | "3
"21195 | "8
"1909537 | "8
"20828 | "8
"1909538 | "8
"17895 | "4
"141533 | "8
"1650661 | "7
"1566224 | "8
"1566995 | "8
"1700024 | "8
"146087 | "1
"1621898 | "6
"113702 | "8
"1657363 | "8
"1618276 | "8
"21337 | "8
"2144820 | "5
"1946128 | "3
"121060 | "8
"1728139 | "8
"1728138 | "8
"121065 | "8
"1614030 | "8
"1678341 | "8
"1700023 | "3
"84757 | "8
"182344 | "8
"112255 | "8
"32001 | "8
"1833393 | "8
"2088160 | "1
"97049 | "2
"133114 | "8
"86445 | "8
"97463 | "7
"86440 | "8
"1547729 | "4
"1677988 | "8
"1523521 | "7
"153977 | "8
"1826235 | "8
"34679 | "8
"1544026 | "8
"164249 | "7
"91579 | "2
"5227 | "7
"1941792 | "8
"99850 | "3
"1196083 | "8
"1527996 | "2
"1659146 | "3
"15817 | "8
"99853 | "6
"1314692 | "8
"78544 | "8
"1530950 | "6
"1336325 | "8
"17944 | "8
"1748781 | "2
"1565752 | "5
"1852857 | "8
"1852855 | "1
"66599 | "8
"1187550 | "8
"94938 | "6
"87065 | "8
"91144 | "5
"122264 | "8
"94937 | "6
"67530 | "8
"1491747 | "8
"1218943 | "4
"115700 | "8
"83998 | "3
"115707 | "8
"89042 | "8
"1763311 | "8
"147024 | "8
"89041 | "8
"100003 | "8
"1665487 | "3
"126566 | "2
"97993 | "8
"66912 | "8
"1830872 | "8
"106537 | "8
"103016 | "3
"1549585 | "3
"171587 | "8
"47593 | "8
"112179 | "5
"1192266 | "8
"92734 | "8
"111936 | "8
"1255332 | "2
"111939 | "8
"1806173 | "8
"29061 | "8
"129620 | "4
"1597619 | "8
"129622 | "7
"1749259 | "8
"1760192 | "4
"1731695 | "8
"1384976 | "8
"95884 | "3
"23757 | "8
"28914 | "8
"1549544 | "8
"2038748 | "7
"2088749 | "3
"34495 | "8
"87472 | "8
